ST_YMD	VDS_ID	LANE_NO	VOL	SPD	OCC
20180801 	0010VDE30500	2	156	115.73	4.35
20180801 	0010VDE30600	2	192	105.4	7.25
20180801 	0010VDE30650	2	0	100	0
20180801 	0010VDE30700	2	214	105.8	6.98
20180801 	0010VDE30800	2	214	85	9.14
20180801 	0010VDE30900	2	284	100.93	7.56
20180801 	0010VDE31000	2	200	105.93	5.77
20180801 	0010VDS30500	2	188	97	6.03
20180801 	0010VDS30600	2	200	109	6.14
20180801 	0010VDS30650	2	0	100	0
20180801 	0010VDS30700	2	240	92.67	8.26
20180801 	0010VDS30800	2	228	67.73	10.66
20180801 	0010VDS30900	2	252	96.53	9.11
20180801 	0010VDS31000	2	268	90.6	9.27
20180801 	0010VDE30500	2	161	115.12	4.62
20180801 	0010VDE30600	2	189	108.43	6.59
20180801 	0010VDE30650	2	0	100	0
20180801 	0010VDE30700	2	201	111.32	6.57
20180801 	0010VDE30800	2	214	87.58	8.91
20180801 	0010VDE30900	2	261	95.8	7.44
20180801 	0010VDE31000	2	230	107.72	6.73
20180801 	0010VDS30500	2	187	104.95	5.89
20180801 	0010VDS30600	2	219	110.62	6.96
20180801 	0010VDS30650	2	0	100	0
20180801 	0010VDS30700	2	246	91.92	8.49
20180801 	0010VDS30800	2	224	68.67	10.12
20180801 	0010VDS30900	2	226	99.17	8.17
20180801 	0010VDS31000	2	252	89.1	9.7
20180801 	0010VDE30500	2	162	118.27	4.38
20180801 	0010VDE30600	2	166	108.73	5.68
20180801 	0010VDE30650	2	0	100	0
20180801 	0010VDE30700	2	204	111.6	6.4
20180801 	0010VDE30800	2	226	86.13	9.18
20180801 	0010VDE30900	2	252	99	6.98
20180801 	0010VDE31000	2	198	106.67	6.03
20180801 	0010VDS30500	2	212	103.4	6.64
20180801 	0010VDS30600	2	208	108.07	6.58
20180801 	0010VDS30650	2	0	100	0
20180801 	0010VDS30700	2	216	96.13	7.37
20180801 	0010VDS30800	2	228	70.67	9.72
20180801 	0010VDS30900	2	244	100.53	8.29
20180801 	0010VDS31000	2	228	95.2	7.86
20180801 	0010VDE30500	2	164	112.47	4.61
20180801 	0010VDE30600	2	176	107.67	5.66
20180801 	0010VDE30650	2	0	100	0
20180801 	0010VDE30700	2	202	115.87	5.65
20180801 	0010VDE30800	2	214	87.93	8.47
20180801 	0010VDE30900	2	224	104.67	5.99
20180801 	0010VDE31000	2	198	110.8	5.78
20180801 	0010VDS30500	2	180	105	5.27
20180801 	0010VDS30600	2	204	110.67	6.75
20180801 	0010VDS30650	2	0	100	0
20180801 	0010VDS30700	2	198	102.73	5.92
20180801 	0010VDS30800	2	208	70.4	8.85
20180801 	0010VDS30900	2	206	102.07	6.69
20180801 	0010VDS31000	2	212	92.47	7.31
20180802 	0010VDE30500	2	175	111.42	5.28
20180802 	0010VDE30600	2	208	104.85	7.96
20180802 	0010VDE30650	2	0	100	0
20180802 	0010VDE30700	2	219	104.73	7.01
20180802 	0010VDE30800	2	210	81.42	10.68
20180802 	0010VDE30900	2	295	94.76	9.07
20180802 	0010VDE31000	2	227	102.38	6.83
20180802 	0010VDS30500	2	191	100.71	6.17
20180802 	0010VDS30600	2	235	106.73	8.64
20180802 	0010VDS30650	2	0	100	0
20180802 	0010VDS30700	2	213	92.93	7.61
20180802 	0010VDS30800	2	225	66.48	10.87
20180802 	0010VDS30900	2	236	97.63	8.84
20180802 	0010VDS31000	2	219	92.2	7.77
20180802 	0010VDE30500	2	209	110.38	5.91
20180802 	0010VDE30600	2	200	108.19	7.22
20180802 	0010VDE30650	2	0	100	0
20180802 	0010VDE30700	2	210	106.11	6.63
20180802 	0010VDE30800	2	211	83.93	8.36
20180802 	0010VDE30900	2	291	94.95	8.14
20180802 	0010VDE31000	2	229	103.52	6.92
20180802 	0010VDS30500	2	123	31.08	39
20180802 	0010VDS30600	2	210	103.03	8.01
20180802 	0010VDS30650	2	0	100	0
20180802 	0010VDS30700	2	212	94.57	7.25
20180802 	0010VDS30800	2	222	68.5	11.14
20180802 	0010VDS30900	2	260	99.32	9.36
20180802 	0010VDS31000	2	220	90.83	8.38
20180802 	0010VDE30500	2	197	114.64	5.39
20180802 	0010VDE30600	2	165	108.21	5.94
20180802 	0010VDE30650	2	0	100	0
20180802 	0010VDE30700	2	222	107.73	7.02
20180802 	0010VDE30800	2	232	82.68	11
20180802 	0010VDE30900	2	258	97.83	7.49
20180802 	0010VDE31000	2	226	105.17	6.85
20180802 	0010VDS30600	2	167	42.99	21.91
20180802 	0010VDS30650	2	0	100	0
20180802 	0010VDS30700	2	207	99.61	6.33
20180802 	0010VDS30800	2	212	71.03	8.83
20180802 	0010VDS30900	2	204	103.2	6.42
20180802 	0010VDS31000	2	207	94.75	6.87
20180802 	0010VDE30500	2	160	113.86	4.39
20180802 	0010VDE30600	2	173	107.99	6.01
20180802 	0010VDE30650	2	0	100	0
20180802 	0010VDE30700	2	229	107.6	7.24
20180802 	0010VDE30800	2	212	85.69	8.89
20180802 	0010VDE30900	2	235	101.35	6.48
20180802 	0010VDE31000	2	211	109.24	5.87
20180802 	0010VDS30500	2	182	21.09	40.62
20180802 	0010VDS30600	2	122	26.36	34.09
20180802 	0010VDS30650	2	0	100	0
20180802 	0010VDS30700	2	181	99.84	6.1
20180802 	0010VDS30800	2	180	72.23	7.64
20180802 	0010VDS30900	2	178	104.44	6.24
20180802 	0010VDS31000	2	182	97.35	6.6
20180803 	0010VDE30500	2	152	108.44	4.91
20180803 	0010VDE30600	2	231	103.49	8.58
20180803 	0010VDE30650	2	0	100	0
20180803 	0010VDE30700	2	241	101.44	7.88
20180803 	0010VDE30800	2	219	77.75	10.37
20180803 	0010VDE30900	2	363	90.9	10.83
20180803 	0010VDE31000	2	211	93.63	6.74
20180803 	0010VDS30500	2	191	97.7	6.33
20180803 	0010VDS30600	2	214	103.79	7.19
20180803 	0010VDS30650	2	0	100	0
20180803 	0010VDS30700	2	186	93.09	6.53
20180803 	0010VDS30800	2	203	62.15	10.73
20180803 	0010VDS30900	2	272	91.65	9.89
20180803 	0010VDS31000	2	213	86.83	7.7
20180803 	0010VDE30500	2	166	110.5	4.97
20180803 	0010VDE30600	2	208	104.57	7.59
20180803 	0010VDE30650	2	0	100	0
20180803 	0010VDE30700	2	215	104.6	6.8
20180803 	0010VDE30800	2	222	83.17	10.11
20180803 	0010VDE30900	2	324	92.03	9.75
20180803 	0010VDE31000	2	230	100.07	7.32
20180803 	0010VDS30500	2	187	97.4	6.61
20180803 	0010VDS30600	2	212	104.87	7.08
20180803 	0010VDS30650	2	0	100	0
